YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
2015,1.0,1,0,1,0,0,300.0,4,1920.0,3.0,6012.0,0
2016,1.0,1,0,1,0,0,300.0,4,1920.0,3.0,6012.0,0
2012,1.0,1,0,1,0,0,3250.0,4,1991.0,8.0,6012.0,1
2013,1.0,1,0,1,0,0,1000.0,4,1974.0,5.0,6012.0,0
2012,1.0,1,0,1,0,0,660.0,4,1920.0,5.0,6012.0,1
2015,1.0,1,0,1,0,0,300.0,4,1920.0,4.0,6012.0,0
2012,1.0,1,0,1,0,0,550.0,4,1930.0,5.0,6012.0,0
2014,1.0,1,0,1,0,0,550.0,4,1930.0,5.0,6012.0,1
2014,1.0,0,0,1,0,0,1255.0,4,1920.0,5.0,6012.0,1
2015,0.997260274,0,0,1,0,0,1255.0,4,1920.0,5.0,6012.0,0
2014,1.0,0,0,1,0,0,5610.0,4,1920.0,5.0,6012.0,1
2015,0.095890411,1,0,1,0,0,1800.0,4,1965.0,6.0,6012.0,0
2016,0.99726776,1,0,1,0,0,1800.0,4,1965.0,6.0,6012.0,0
2013,1.0,1,0,1,0,0,500.0,4,1940.0,4.0,6012.0,0
2014,1.0,0,1,0,1,1,1500.0,4,1980.0,4.0,6012.0,1
2013,1.0,0,0,1,0,0,1850.0,4,1950.0,4.0,6012.0,0
2015,1.0,1,1,0,1,1,950.0,4,1960.0,4.0,6012.0,1
2012,1.0,1,1,0,1,1,340.0,4,1960.0,4.0,6012.0,0
2015,1.0,1,1,0,1,1,340.0,4,1960.0,4.0,6012.0,0
2015,0.997260274,0,0,1,0,0,997.0,4,1960.0,4.0,6012.0,0
2013,1.0,1,0,1,0,0,3336.0,4,1970.0,5.0,6014.0,0
2013,1.0,0,0,1,0,0,3270.0,4,1980.0,7.0,6014.0,1
2015,1.0,0,0,1,0,0,3270.0,4,1980.0,7.0,6014.0,0
2013,0.665753425,0,1,0,1,1,300.0,4,1960.0,4.0,6016.0,0
2012,1.0,1,1,0,1,1,2235.0,4,1960.0,4.0,6027.0,0
2012,1.0,0,1,0,1,1,1400.0,4,1980.0,4.0,6027.0,0
2015,1.0,1,0,1,0,0,5586.0,4,1978.0,5.0,6027.0,0
2016,1.0,1,0,1,0,0,5586.0,4,1978.0,5.0,6027.0,0
2014,1.0,0,0,1,0,0,800.0,4,1967.0,4.0,6027.0,1
2013,0.893150685,0,1,0,1,1,300.0,4,1960.0,4.0,6029.0,0
2013,1.0,0,1,0,1,1,4310.0,4,1970.0,4.0,6029.0,1
2012,1.0,0,1,0,1,1,2160.0,4,1980.0,4.0,6029.0,1
2015,1.0,0,0,1,0,0,650.0,4,1960.0,3.0,6029.0,1
2012,1.0,0,0,1,0,0,210.0,4,1927.0,2.0,6029.0,0
2012,1.0,0,0,1,0,0,7063.0,4,1952.0,7.0,6029.0,1
2013,1.0,0,0,1,0,0,1696.0,4,2007.0,5.0,6029.0,0
2015,1.0,0,0,1,0,0,740.0,4,1940.0,4.0,6029.0,0
2016,0.024590164,1,0,1,0,0,3300.0,4,1957.0,2.0,6029.0,0
2013,1.0,0,0,1,0,0,350.0,4,1960.0,4.0,6029.0,0
2012,1.0,1,0,0,1,1,400.0,4,1980.0,4.0,6029.0,0
2014,0.0,0,0,0,1,1,1000.0,4,1970.0,4.0,6029.0,1
2015,0.893150685,0,0,0,1,1,162.0,4,1970.0,4.0,6029.0,0
2014,1.0,0,1,0,1,1,320.0,4,1960.0,4.0,6029.0,0
2016,0.99726776,0,1,0,1,1,320.0,4,1960.0,4.0,6029.0,0
2015,0.580821918,1,0,0,1,1,18000.0,4,1980.0,4.0,6029.0,1
2012,1.0,0,0,0,1,1,1225.0,4,1960.0,4.0,6029.0,1
2015,1.0,0,1,0,1,1,400.0,4,1960.0,4.0,6030.0,0
2013,0.832876712,0,1,0,1,1,270.0,4,1980.0,4.0,6030.0,0
2012,1.0,0,0,1,0,0,740.0,4,1970.0,4.0,6030.0,0
2012,1.0,0,0,1,0,0,1150.0,4,1978.0,3.0,6030.0,0
2015,1.0,0,0,1,0,0,4200.0,4,1988.0,4.0,6030.0,1
2015,0.260273973,0,0,1,0,0,100.0,4,1800.0,3.0,6030.0,0
2013,0.747945205,1,1,0,1,1,900.0,4,1988.0,4.0,6030.0,0
2012,1.0,1,1,0,1,1,9920.0,4,1980.0,4.0,6030.0,1
2015,1.0,0,0,0,1,1,2625.0,4,1980.0,4.0,6030.0,0
2013,1.0,0,0,1,0,0,5350.0,4,2007.0,7.0,6032.0,0
2014,0.915068493,1,0,0,1,1,270.0,4,1960.0,4.0,6032.0,0
2012,1.0,0,1,0,1,1,3406.0,4,1988.0,4.0,6032.0,0
2012,1.0,0,0,1,0,0,3700.0,4,1985.0,7.0,6032.0,1
2015,1.0,0,0,1,0,0,3700.0,4,1985.0,7.0,6032.0,1
2012,0.418032787,0,0,1,0,0,3369.0,4,2009.0,3.0,6032.0,0
2013,1.0,0,0,1,0,0,3369.0,4,2009.0,3.0,6032.0,1
2014,1.0,0,0,1,0,0,3369.0,4,2009.0,3.0,6032.0,1
2013,0.104109589,0,0,0,1,1,4846.0,4,1980.0,4.0,6032.0,0
2014,1.0,0,0,0,1,1,7887.0,4,1980.0,4.0,6032.0,1
2013,1.0,0,0,0,1,1,1300.0,4,1980.0,4.0,6032.0,1
2014,0.769863014,0,0,0,1,1,1300.0,4,1980.0,4.0,6032.0,0
2013,1.0,1,0,1,0,0,4000.0,4,1980.0,4.0,6033.0,1
2014,1.0,1,0,1,0,0,4000.0,4,1980.0,4.0,6033.0,0
2013,1.0,0,0,1,0,0,171.0,4,1930.0,3.0,6035.0,1
2015,1.0,0,0,1,0,0,171.0,4,1930.0,3.0,6035.0,0
2013,1.0,0,0,1,0,0,570.0,4,1960.0,2.0,6036.0,0
2014,1.0,0,1,0,1,1,65.0,4,1960.0,4.0,6036.0,0
2016,0.99726776,0,0,1,0,0,367.0,4,1985.0,4.0,6044.0,0
2013,1.0,1,1,0,1,1,200.0,4,1960.0,4.0,6048.0,1
2012,1.0,1,1,0,1,1,400.0,4,1960.0,4.0,6057.0,1
2013,1.0,0,1,0,1,1,400.0,4,1980.0,4.0,6067.0,0
2016,1.0,0,1,0,1,1,400.0,4,1980.0,4.0,6067.0,0
2012,1.0,0,0,1,0,0,400.0,4,1940.0,4.0,6069.0,0
2016,1.0,0,0,1,0,0,400.0,4,1940.0,4.0,6069.0,0
2012,1.0,0,0,1,0,0,400.0,4,1920.0,4.0,6069.0,0
2014,1.0,0,0,1,0,0,6300.0,4,1977.0,5.0,6069.0,1
2012,1.0,0,0,1,0,0,250.0,4,1890.0,5.0,6069.0,0
2014,1.0,0,0,1,0,0,750.0,4,1900.0,3.0,6069.0,0
2013,0.024657534,0,0,0,1,1,400.0,4,1960.0,4.0,6069.0,0
2015,1.0,0,0,1,0,0,660.0,4,1949.0,5.0,6069.0,1
2013,1.0,0,0,1,0,0,1100.0,4,1978.0,3.0,6069.0,0
2013,1.0,0,0,1,0,0,530.0,4,1949.0,6.0,6069.0,0
2012,1.0,0,0,1,0,0,3269.0,4,1975.0,4.0,6070.0,0
2014,1.0,0,0,1,0,0,3269.0,4,1975.0,4.0,6070.0,1
2015,1.0,0,0,1,0,0,3269.0,4,1975.0,4.0,6070.0,0
2013,0.0,0,1,0,1,1,300.0,4,1970.0,4.0,6073.0,0
2013,1.0,0,0,1,0,0,640.0,4,1951.0,4.0,6077.0,0
2015,1.0,0,1,0,1,1,530.0,4,1980.0,4.0,6079.0,0
2013,1.0,0,0,1,0,0,450.0,4,1960.0,3.0,6079.0,0
2013,1.0,0,0,1,0,0,3800.0,4,1960.0,7.0,6079.0,0
2014,0.476712329,1,0,1,0,0,1140.0,4,1988.0,3.0,6079.0,1
2013,1.0,0,0,1,0,0,400.0,4,1960.0,5.0,6083.0,0
2012,1.0,0,1,0,1,1,130.0,4,1960.0,4.0,6083.0,0
2012,1.0,0,1,0,1,1,243.0,4,1960.0,4.0,6083.0,0
2013,0.865753425,0,1,0,1,1,243.0,4,1960.0,4.0,6083.0,0
2012,1.0,1,0,0,1,1,2106.0,4,1980.0,4.0,6083.0,1
2013,1.0,1,1,0,1,1,1842.0,4,1988.0,4.0,6083.0,0
2012,0.554644809,1,0,0,1,1,2713.0,4,1980.0,4.0,6083.0,0
2015,1.0,0,0,1,0,0,500.0,4,1950.0,5.0,6083.0,0
2012,1.0,0,1,0,1,1,614.0,4,1980.0,4.0,6083.0,0
2014,1.0,0,0,1,0,0,1370.0,4,2008.0,5.0,6083.0,0
2015,1.0,0,0,1,0,0,1370.0,4,2008.0,5.0,6083.0,0
2015,1.0,0,1,0,1,1,430.0,4,1960.0,4.0,6083.0,0
2014,1.0,0,1,0,1,1,1563.0,4,1980.0,4.0,6083.0,0
2013,1.0,0,1,0,1,1,250.0,4,1960.0,4.0,6083.0,0
2013,0.832876712,0,1,0,1,1,1350.0,4,1980.0,4.0,6083.0,0
2014,1.0,0,1,0,1,1,480.0,4,1960.0,4.0,6083.0,0
2015,1.0,0,1,0,1,1,480.0,4,1960.0,4.0,6083.0,0
2014,1.0,0,1,0,1,1,1600.0,4,1960.0,4.0,6083.0,0
2014,1.0,0,1,0,1,1,5800.0,4,1988.0,4.0,6083.0,1
2016,0.99726776,0,0,1,0,0,1000.0,4,1972.0,6.0,6083.0,0
2015,0.084931507,0,0,1,0,0,2000.0,4,1972.0,6.0,6083.0,0
2016,0.99726776,0,0,1,0,0,2880.0,4,1970.0,8.0,6083.0,1
2015,1.0,0,0,1,0,0,3343.0,4,1970.0,7.0,6083.0,0
2014,1.0,0,0,1,0,0,10573.0,4,1972.0,9.0,6083.0,0
2013,1.0,1,0,0,1,1,1853.0,4,1988.0,4.0,6083.0,0
2016,0.163934426,1,0,1,0,0,5939.0,4,1987.0,6.0,6083.0,0
2016,1.0,0,0,1,0,0,518.0,4,2010.0,4.0,6083.0,1
2015,1.0,0,0,1,0,0,3120.0,4,2000.0,4.0,6083.0,0
2016,1.0,0,0,1,0,0,3120.0,4,2000.0,4.0,6083.0,1
2014,1.0,0,0,1,0,0,450.0,4,1920.0,6.0,6083.0,0
2014,1.0,0,0,1,0,0,12900.0,4,1970.0,5.0,6083.0,0
2016,1.0,0,0,1,0,0,12900.0,4,1970.0,5.0,6083.0,1
2015,1.0,0,0,1,0,0,450.0,4,1960.0,3.0,6083.0,0
2012,1.0,0,0,1,0,0,1300.0,4,1960.0,5.0,6083.0,1
2012,1.0,0,0,1,0,0,254.0,4,1900.0,3.0,6083.0,1
2013,1.0,0,0,1,0,0,1050.0,4,1960.0,4.0,6083.0,0
2013,1.0,0,0,1,0,0,4500.0,4,2011.0,7.0,6083.0,0
2014,1.0,0,0,1,0,0,700.0,4,1960.0,3.0,6083.0,1
2012,0.448087432,1,0,1,0,0,2712.0,4,1970.0,6.0,6083.0,0
2015,1.0,1,0,1,0,0,2712.0,4,1970.0,6.0,6083.0,0
2013,1.0,0,0,1,0,0,300.0,4,1920.0,3.0,6083.0,0
2012,0.50273224,1,0,1,0,0,1120.0,4,2007.0,1.0,6083.0,0
2014,1.0,0,0,1,0,0,5598.0,4,1980.0,5.0,6083.0,1
2016,0.99726776,0,0,1,0,0,4500.0,4,1980.0,5.0,6083.0,1
2016,0.75136612,1,0,1,0,0,2659.0,4,1962.0,6.0,6083.0,0
2016,0.50273224,1,0,1,0,0,450.0,4,1900.0,2.0,6083.0,0
2016,0.081967213,1,0,1,0,0,300.0,4,1900.0,3.0,6083.0,0
2012,1.0,0,0,1,0,0,500.0,4,1930.0,4.0,6083.0,0
2016,0.99726776,0,0,0,1,1,1619.0,4,1980.0,4.0,6083.0,0
2012,1.0,0,0,0,1,1,826.0,4,1980.0,4.0,6083.0,1
2016,0.99726776,0,0,0,1,1,826.0,4,1980.0,4.0,6083.0,0
2014,1.0,0,0,0,1,1,1365.0,4,1960.0,4.0,6083.0,0
2012,1.0,0,0,1,0,0,184.0,4,1960.0,4.0,6083.0,0
2014,1.0,0,0,1,0,0,970.0,4,1950.0,4.0,6083.0,0
2015,1.0,0,0,0,1,1,686.0,4,1960.0,4.0,6083.0,0
2014,1.0,0,0,1,0,0,900.0,4,1956.0,5.0,6083.0,0
2013,1.0,0,0,1,0,0,3508.0,4,1975.0,7.0,6083.0,1
2012,1.0,0,0,0,1,1,2900.0,4,1960.0,4.0,6083.0,1
2013,1.0,0,0,0,1,1,2900.0,4,1960.0,4.0,6083.0,1
2016,0.99726776,0,0,0,1,1,6984.0,4,1980.0,4.0,6083.0,0
2013,1.0,0,0,1,0,0,2034.0,4,1970.0,7.0,6083.0,0
2014,1.0,0,1,0,1,1,7223.0,4,1980.0,4.0,6083.0,0
2015,1.0,0,0,0,1,1,9400.0,4,1960.0,4.0,6083.0,1
2014,1.0,0,0,0,1,1,4286.0,4,1960.0,4.0,6083.0,1
2012,1.0,0,0,0,1,1,1700.0,4,1960.0,4.0,6083.0,0
2015,1.0,0,0,0,1,1,1500.0,4,1980.0,4.0,6083.0,1
2014,1.0,0,0,1,0,0,8400.0,4,1980.0,8.0,6083.0,1
2013,1.0,0,1,0,1,1,300.0,4,1980.0,4.0,6083.0,0
2012,1.0,0,0,0,1,1,4176.0,4,1988.0,4.0,6083.0,0
2013,1.0,0,0,0,1,1,4176.0,4,1988.0,4.0,6083.0,0
2013,1.0,0,0,1,0,0,3400.0,4,1960.0,6.0,6083.0,1
2013,0.997260274,0,0,1,0,0,500.0,4,1960.0,4.0,6083.0,1
2016,1.0,0,0,1,0,0,500.0,4,1960.0,4.0,6083.0,0
2013,1.0,0,0,1,0,0,3501.0,4,1980.0,5.0,6083.0,0
2013,1.0,1,0,0,1,1,1325.0,4,1980.0,4.0,6083.0,0
2014,1.0,1,0,0,1,1,1325.0,4,1980.0,4.0,6083.0,1
2015,1.0,0,0,1,0,0,9500.0,4,1993.0,5.0,6083.0,1
2013,1.0,0,0,0,1,1,20.0,4,1988.0,4.0,6083.0,0
2015,1.0,0,0,0,1,1,20.0,4,1988.0,4.0,6083.0,0
2016,1.0,0,0,1,0,0,441.0,4,1960.0,4.0,6083.0,0
2012,1.0,0,0,1,0,0,1137.0,4,1960.0,5.0,6083.0,1
2015,1.0,1,1,0,1,1,250.0,4,1960.0,4.0,6083.0,0
2014,1.0,1,1,0,1,1,418.0,4,1960.0,4.0,6083.0,0
2016,1.0,0,1,0,1,1,860.0,4,1980.0,4.0,6083.0,0
2015,0.468493151,0,1,0,1,1,500.0,4,1960.0,4.0,6083.0,0
2014,0.797260274,0,0,0,1,1,3873.0,4,1988.0,4.0,6083.0,0
2012,1.0,0,0,1,0,0,3708.0,4,1970.0,7.0,6083.0,0
2013,1.0,0,0,1,0,0,700.0,4,1975.0,5.0,6083.0,1
2013,1.0,0,0,0,1,1,7300.0,4,1980.0,4.0,6083.0,1
2015,1.0,1,1,0,1,1,1080.0,4,1960.0,4.0,6083.0,0
2015,1.0,0,0,1,0,0,1446.0,4,1950.0,4.0,6083.0,1
2014,1.0,1,1,0,1,1,357.0,4,1960.0,4.0,6083.0,0
2016,1.0,0,0,1,0,0,2230.0,4,1960.0,5.0,6083.0,0
2016,1.0,0,0,1,0,0,1500.0,4,1900.0,5.0,6083.0,0
2013,1.0,0,0,0,1,1,4700.0,4,1980.0,4.0,6083.0,1
2014,1.0,0,0,1,0,0,3757.0,4,1960.0,4.0,6083.0,1
2014,1.0,0,0,0,1,1,3043.0,4,1980.0,4.0,6083.0,0
2016,0.99726776,0,1,0,1,1,317.0,4,1980.0,4.0,6083.0,0
2012,1.0,1,1,0,1,1,1702.0,4,1960.0,4.0,6083.0,0
2012,1.0,0,0,0,1,1,860.0,4,1980.0,4.0,6083.0,1
2012,1.0,0,1,0,1,1,400.0,4,1980.0,4.0,6083.0,0
2013,0.315068493,0,0,1,0,0,3450.0,4,2003.0,7.0,6083.0,0
2013,1.0,0,0,0,1,1,3510.0,4,1980.0,4.0,6083.0,1
2012,1.0,0,0,0,1,1,1565.0,4,1960.0,4.0,6083.0,0
2012,1.0,0,0,1,0,0,4300.0,4,1940.0,6.0,6083.0,1
2016,0.99726776,0,0,1,0,0,4300.0,4,1940.0,6.0,6083.0,0
2014,1.0,0,0,1,0,0,6650.0,4,1912.0,8.0,6083.0,1
2015,1.0,0,0,1,0,0,6650.0,4,1912.0,8.0,6083.0,1
2015,1.0,1,1,0,1,1,1500.0,4,1960.0,4.0,6083.0,0
2016,0.99726776,0,0,1,0,0,2857.0,4,1950.0,7.0,6083.0,1
2013,1.0,0,0,0,1,1,1178.0,4,1980.0,4.0,6083.0,0
2013,1.0,0,1,0,1,1,5785.0,4,1980.0,4.0,6083.0,1
